training_regime,training_seed,scenario,test_seed,snr_db,method,estimator,equalizer,frames,bit_errors,total_bits,ber,symbol_errors,total_symbols,ser,evm_rms,evm_db,channel_mse,channel_nmse,pilot_nmse,data_nmse,deep_fade_nmse,estimator_time_ms
baseline,0,matched_12tap_exponential,8101,30.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,60,248,161520,0.0015354135710747895,189,40380,0.004680534918276374,0.08820984929853859,-21.089658397774123,0.02561040243211513,0.025610402645543217,0.0004962221171202449,0.0005506605608388782,0.004470991224904234,0.36215833339762565
baseline,0,matched_12tap_exponential,8101,30.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,60,248,161520,0.0015354135710747895,189,40380,0.004680534918276374,0.08820985136861853,-21.089658193936508,0.02561040243211513,0.025610402645543217,0.0004962221171202449,0.0005506605608388782,0.004470991224904234,0.36215833339762565
baseline,0,matched_12tap_exponential,8101,30.0,DFT-LS+ZF,DFT-LS,ZF,60,788,161520,0.004878652798415057,657,40380,0.016270430906389303,0.18124721279128758,-14.834573265199616,0.02426449521056687,0.02426449537742883,0.0038318411612029498,0.0036518869193969293,0.026292901047660657,0.02938833398123582
baseline,0,matched_12tap_exponential,8101,30.0,DFT-LS+MMSE,DFT-LS,MMSE,60,788,161520,0.004878652798415057,657,40380,0.016270430906389303,0.18124721452998876,-14.834573181876037,0.02426449521056687,0.02426449537742883,0.0038318411612029498,0.0036518869193969293,0.026292901047660657,0.02938833398123582
baseline,0,matched_12tap_exponential,8101,30.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,60,195,161520,0.0012072808320950966,147,40380,0.0036404160475482913,0.0961683299379608,-20.339358517182525,0.00021403016204809926,0.00021403016338202482,0.00010824071262807896,0.00010793720684887376,0.0009003996667161119,0.013111666582214335
baseline,0,matched_12tap_exponential,8101,30.0,LMMSE-oracle+MMSE,LMMSE-oracle,MMSE,60,195,161520,0.0012072808320950966,147,40380,0.0036404160475482913,0.09616832969295834,-20.339358539311064,0.00021403016204809926,0.00021403016338202482,0.00010824071262807896,0.00010793720684887376,0.0009003996667161119,0.013111666582214335
baseline,0,matched_12tap_exponential,8101,30.0,LMMSE-sample-100+ZF,LMMSE-sample-100,ZF,60,246,161520,0.0015230312035661219,187,40380,0.004631005448241704,0.08739982829824434,-21.1697884112017,0.0012252499655005522,0.0012252499771420843,0.00047566329546195143,0.0005247321285423822,0.004258080389505873,0.00940499691447864
baseline,0,matched_12tap_exponential,8101,30.0,LMMSE-sample-100+MMSE,LMMSE-sample-100,MMSE,60,246,161520,0.0015230312035661219,187,40380,0.004631005448241704,0.08739982892165418,-21.169788349246556,0.0012252499655005522,0.0012252499771420843,0.00047566329546195143,0.0005247321285423822,0.004258080389505873,0.00940499691447864
baseline,0,matched_12tap_exponential,8101,30.0,LMMSE-sample-1000+ZF,LMMSE-sample-1000,ZF,60,246,161520,0.0015230312035661219,187,40380,0.004631005448241704,0.08746067190414197,-21.16374381145819,0.0012133016493559505,0.0012133016590572274,0.0004757845725786562,0.000524928622568647,0.004259114334126934,0.009153335122391582
baseline,0,matched_12tap_exponential,8101,30.0,LMMSE-sample-1000+MMSE,LMMSE-sample-1000,MMSE,60,246,161520,0.0015230312035661219,187,40380,0.004631005448241704,0.08746066959744643,-21.163744040540617,0.0012133016493559505,0.0012133016590572274,0.0004757845725786562,0.000524928622568647,0.004259114334126934,0.009153335122391582
baseline,0,matched_12tap_exponential,8101,30.0,LMMSE-sample-10000+ZF,LMMSE-sample-10000,ZF,60,246,161520,0.0015230312035661219,187,40380,0.004631005448241704,0.08746623032493245,-21.16319181140618,0.0011627613251524356,0.0011627613348537125,0.000475874471400554,0.0005250338872428983,0.004260805004741996,0.008088334288913757
baseline,0,matched_12tap_exponential,8101,30.0,LMMSE-sample-10000+MMSE,LMMSE-sample-10000,MMSE,60,246,161520,0.0015230312035661219,187,40380,0.004631005448241704,0.08746622949996238,-21.163191893330357,0.0011627613251524356,0.0011627613348537125,0.000475874471400554,0.0005250338872428983,0.004260805004741996,0.008088334288913757
baseline,0,matched_12tap_exponential,8101,30.0,PerfectCSI+ZF,PerfectCSI,ZF,60,172,161520,0.0010648836057454184,127,40380,0.003145121347201585,0.09440075712906607,-20.50049044970454,0.0,0.0,0.0,0.0,0.0,0.0018466652060548465
baseline,0,matched_12tap_exponential,8101,30.0,PerfectCSI+MMSE,PerfectCSI,MMSE,60,172,161520,0.0010648836057454184,127,40380,0.003145121347201585,0.0944007523868577,-20.500490886038957,0.0,0.0,0.0,0.0,0.0,0.0018466652060548465
baseline,0,matched_12tap_exponential,8201,10.0,LS-linear+ZF,LS-linear,ZF,60,38039,161520,0.2355064388311045,25297,40380,0.6264735017335314,2.644993588762907,8.44849247359977,0.3734731505314509,0.37347315400838854,0.084692174817125,0.34781282221277554,1.921841736137867,0.19882333484323075
baseline,0,matched_12tap_exponential,8201,10.0,LS-linear+MMSE,LS-linear,MMSE,60,38039,161520,0.2355064388311045,25297,40380,0.6264735017335314,2.6449934988837027,8.448492178445612,0.3734731505314509,0.37347315400838854,0.084692174817125,0.34781282221277554,1.921841736137867,0.19882333484323075
baseline,0,matched_12tap_exponential,8201,10.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,60,21062,161520,0.1303987122337791,16119,40380,0.39918276374442796,0.9172948409975511,-0.7498209804442943,0.09423200922707717,0.09423201022048791,0.04856952621291081,0.05337498566756646,0.41878682387371857,0.03131666647580763
baseline,0,matched_12tap_exponential,8201,10.0,Frame-LS-linear+MMSE,Frame-LS-linear,MMSE,60,21062,161520,0.1303987122337791,16119,40380,0.39918276374442796,0.9172948325644327,-0.7498210602977209,0.09423200922707717,0.09423201022048791,0.04856952621291081,0.05337498566756646,0.41878682387371857,0.03131666647580763
baseline,0,matched_12tap_exponential,8201,10.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,60,21062,161520,0.1303987122337791,16119,40380,0.39918276374442796,0.9172948409975511,-0.7498209804442943,0.11875580828636885,0.1187558097143968,0.04856952621291081,0.05337498566756646,0.41878682387371857,0.34272333383948234
baseline,0,matched_12tap_exponential,8201,10.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,60,21062,161520,0.1303987122337791,16119,40380,0.39918276374442796,0.9172948325644327,-0.7498210602977209,0.11875580828636885,0.1187558097143968,0.04856952621291081,0.05337498566756646,0.41878682387371857,0.34272333383948234
baseline,0,matched_12tap_exponential,8201,10.0,DFT-LS+ZF,DFT-LS,ZF,60,17393,161520,0.10768325903912829,13446,40380,0.3329866270430906,0.8846735916437016,-1.0643387328480638,0.04439891854611536,0.04439891890312234,0.016652904528503615,0.01646545724167178,0.10983219815728565,0.0273449996408696
baseline,0,matched_12tap_exponential,8201,10.0,DFT-LS+MMSE,DFT-LS,MMSE,60,17393,161520,0.10768325903912829,13446,40380,0.3329866270430906,0.8846735920702421,-1.06433872866021,0.04439891854611536,0.04439891890312234,0.016652904528503615,0.01646545724167178,0.10983219815728565,0.0273449996408696
baseline,0,matched_12tap_exponential,8201,10.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,60,16828,161520,0.10418524021792967,13035,40380,0.32280832095096584,1.0124048230528346,0.10708410902584675,0.015518335066735745,0.015518335198673109,0.009830021889259417,0.009861109460083147,0.07320030750706792,0.011446667970934262
baseline,0,matched_12tap_exponential,8201,10.0,LMMSE-oracle+MMSE,LMMSE-oracle,MMSE,60,16828,161520,0.10418524021792967,13035,40380,0.32280832095096584,1.012404849236799,0.10708433367019488,0.015518335066735745,0.015518335198673109,0.009830021889259417,0.009861109460083147,0.07320030750706792,0.011446667970934262
baseline,0,matched_12tap_exponential,8201,10.0,LMMSE-sample-100+ZF,LMMSE-sample-100,ZF,60,17212,161520,0.10656265477959385,13331,40380,0.33013868251609707,0.7835508131073757,-2.118656687505055,0.019263525501204033,0.019263525671946505,0.013148686445007721,0.013109812575081984,0.09879525542880098,0.007408335416888197
baseline,0,matched_12tap_exponential,8201,10.0,LMMSE-sample-100+MMSE,LMMSE-sample-100,MMSE,60,17212,161520,0.10656265477959385,13331,40380,0.33013868251609707,0.7835508193680264,-2.1186566181039144,0.019263525501204033,0.019263525671946505,0.013148686445007721,0.013109812575081984,0.09879525542880098,0.007408335416888197
baseline,0,matched_12tap_exponential,8201,10.0,LMMSE-sample-1000+ZF,LMMSE-sample-1000,ZF,60,17179,161520,0.10635834571570084,13305,40380,0.32949479940564635,0.8102447730705089,-1.8276752388421027,0.018333928333595394,0.01833392851985991,0.01298954039812088,0.012955361829760174,0.09737242738095422,0.006948334339540452
baseline,0,matched_12tap_exponential,8201,10.0,LMMSE-sample-1000+MMSE,LMMSE-sample-1000,MMSE,60,17179,161520,0.10635834571570084,13305,40380,0.32949479940564635,0.8102447571195195,-1.8276754098380041,0.018333928333595394,0.01833392851985991,0.01298954039812088,0.012955361829760174,0.09737242738095422,0.006948334339540452
baseline,0,matched_12tap_exponential,8201,10.0,LMMSE-sample-10000+ZF,LMMSE-sample-10000,ZF,60,17199,161520,0.10648216939078751,13317,40380,0.3297919762258544,0.816908555266919,-1.756531113309644,0.018199199329440793,0.018199199500183266,0.013005175720900297,0.012971220600108305,0.09770763314639529,0.006496665688852469
baseline,0,matched_12tap_exponential,8201,10.0,LMMSE-sample-10000+MMSE,LMMSE-sample-10000,MMSE,60,17199,161520,0.10648216939078751,13317,40380,0.3297919762258544,0.816908550185763,-1.7565311673357151,0.018199199329440793,0.018199199500183266,0.013005175720900297,0.012971220600108305,0.09770763314639529,0.006496665688852469
baseline,0,matched_12tap_exponential,8201,10.0,PerfectCSI+ZF,PerfectCSI,ZF,60,15793,161520,0.09777736503219416,12248,40380,0.3033184744923229,0.725859104787571,-2.7829534248863435,0.0,0.0,0.0,0.0,0.0,0.0018316694574120145
baseline,0,matched_12tap_exponential,8201,10.0,PerfectCSI+MMSE,PerfectCSI,MMSE,60,15793,161520,0.09777736503219416,12248,40380,0.3033184744923229,0.7258591072569318,-2.782953395337089,0.0,0.0,0.0,0.0,0.0,0.0018316694574120145
baseline,0,matched_12tap_exponential,8201,20.0,LS-linear+ZF,LS-linear,ZF,60,30318,161520,0.18770430906389302,20761,40380,0.5141406636948984,2.0775319116267355,6.350954068492015,0.32391381946702796,0.32391382443408173,0.008555322877752285,0.31417286830643815,1.6288329154253005,0.21434333320939913
baseline,0,matched_12tap_exponential,8201,20.0,LS-linear+MMSE,LS-linear,MMSE,60,30318,161520,0.18770430906389302,20761,40380,0.5141406636948984,2.0775320288142214,6.350954558437577,0.32391381946702796,0.32391382443408173,0.008555322877752285,0.31417286830643815,1.6288329154253005,0.21434333320939913
baseline,0,matched_12tap_exponential,8201,20.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,60,2867,161520,0.017750123823675086,2379,40380,0.05891530460624071,0.28433548839745704,-10.92337863782519,0.04282148089259863,0.042821481560046476,0.004749065610424926,0.005219546418326597,0.039191552662911515,0.030939998396206647
baseline,0,matched_12tap_exponential,8201,20.0,Frame-LS-linear+MMSE,Frame-LS-linear,MMSE,60,2867,161520,0.017750123823675086,2379,40380,0.05891530460624071,0.28433548976857864,-10.923378595940122,0.04282148089259863,0.042821481560046476,0.004749065610424926,0.005219546418326597,0.039191552662911515,0.030939998396206647
baseline,0,matched_12tap_exponential,8201,20.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,60,2867,161520,0.017750123823675086,2379,40380,0.05891530460624071,0.28433548839745704,-10.92337863782519,0.03743135035814096,0.037431351056632894,0.004749065610424926,0.005219546418326597,0.039191552662911515,0.3466333354784486
baseline,0,matched_12tap_exponential,8201,20.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,60,2867,161520,0.017750123823675086,2379,40380,0.05891530460624071,0.28433548976857864,-10.923378595940122,0.03743135035814096,0.037431351056632894,0.004749065610424926,0.005219546418326597,0.039191552662911515,0.3466333354784486
baseline,0,matched_12tap_exponential,8201,20.0,DFT-LS+ZF,DFT-LS,ZF,60,2895,161520,0.017923476968796433,2370,40380,0.058692421991084695,0.40272086379034516,-7.899917405651133,0.030475585220847277,0.03047558576023827,0.005767200072295964,0.00554956808531036,0.04370473548187874,0.02747833204921335
baseline,0,matched_12tap_exponential,8201,20.0,DFT-LS+MMSE,DFT-LS,MMSE,60,2895,161520,0.017923476968796433,2370,40380,0.058692421991084695,0.40272085141089276,-7.899917672651354,0.030475585220847277,0.03047558576023827,0.005767200072295964,0.00554956808531036,0.04370473548187874,0.02747833204921335
baseline,0,matched_12tap_exponential,8201,20.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,60,2021,161520,0.012512382367508668,1658,40380,0.04105993065874195,0.2907145503931035,-10.730664621055602,0.002209749691731607,0.002209749730536714,0.0010068592372893667,0.001006457755768982,0.007429966543956349,0.011163333935352663
baseline,0,matched_12tap_exponential,8201,20.0,LMMSE-oracle+MMSE,LMMSE-oracle,MMSE,60,2021,161520,0.012512382367508668,1658,40380,0.04105993065874195,0.2907145323094423,-10.730665161354292,0.002209749691731607,0.002209749730536714,0.0010068592372893667,0.001006457755768982,0.007429966543956349,0.011163333935352663
baseline,0,matched_12tap_exponential,8201,20.0,LMMSE-sample-100+ZF,LMMSE-sample-100,ZF,60,2523,161520,0.01562035661218425,2070,40380,0.0512630014858841,0.2671649070600276,-11.464411767574646,0.005412368864441911,0.005412368969215701,0.003360654549517979,0.0035405465556929507,0.026855975420524678,0.007409999185862641
baseline,0,matched_12tap_exponential,8201,20.0,LMMSE-sample-100+MMSE,LMMSE-sample-100,MMSE,60,2523,161520,0.01562035661218425,2070,40380,0.0512630014858841,0.2671649063082963,-11.46441179201444,0.005412368864441911,0.005412368969215701,0.003360654549517979,0.0035405465556929507,0.026855975420524678,0.007409999185862641
baseline,0,matched_12tap_exponential,8201,20.0,LMMSE-sample-1000+ZF,LMMSE-sample-1000,ZF,60,2526,161520,0.01563893016344725,2075,40380,0.051386825160970775,0.2677579679390591,-11.445151931455113,0.005244177164665113,0.005244177265558392,0.0033630083315074446,0.0035450910800136626,0.026963223912753166,0.0069049972807988524
baseline,0,matched_12tap_exponential,8201,20.0,LMMSE-sample-1000+MMSE,LMMSE-sample-1000,MMSE,60,2526,161520,0.01563893016344725,2075,40380,0.051386825160970775,0.2677579680273022,-11.445151928592567,0.005244177164665113,0.005244177265558392,0.0033630083315074446,0.0035450910800136626,0.026963223912753166,0.0069049972807988524
